game_id,home_wins,odds,amount
21400586,L,-110,1
21400766,W,-110,1
21400300,L,-110,1
21401123,L,-110,1
21400114,W,-110,1
21400632,W,-110,1
21400248,L,-110,1
21401080,W,-110,1
21400003,L,-110,1
21400667,L,-110,1
21400169,W,-110,1
21400747,L,-110,1
21400856,L,-110,1
21400238,W,-110,1
21401023,W,-110,1
21400417,L,-110,1
21400794,W,-110,1
21400675,L,-110,1
21400990,L,-110,1
21400333,W,-110,1
21400356,L,-110,1
21400508,W,-110,1
21401048,L,-110,1
21400617,W,-110,1
21400125,L,-110,1
21401194,L,-110,1
21400891,W,-110,1
21401178,W,-110,1
21400563,L,-110,1
21400919,W,-110,1
21400059,L,-110,1
21401214,L,-110,1
21400553,W,-110,1
21401140,W,-110,1
21400279,L,-110,1
21400829,W,-110,1
21400698,L,-110,1
21400034,W,-110,1
21400066,L,-110,1
21400626,W,-110,1
21400192,L,-110,1
21400366,W,-110,1
21400780,W,-110,1
21400271,L,-110,1
21400134,W,-110,1
21400597,L,-110,1
21400851,L,-110,1
21401019,W,-110,1
21400012,L,-110,1
21400965,L,-110,1
21400555,W,-110,1
21401219,W,-110,1
21401037,L,-110,1
21401167,L,-110,1
21400253,W,-110,1
21400479,W,-110,1
21400942,L,-110,1
21401003,W,-110,1
21400619,L,-110,1
21400175,W,-110,1
21400721,W,-110,1
21400736,L,-110,1
21400868,W,-110,1
21400240,L,-110,1
21400753,W,-110,1
