Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG,eFG,FTfreq,TOfreq,SFfreq,And1freq,ScoreFreq,Percentile,play_type
Magic,82,569,0.066,0.46,260,33,102,32.4,35.8,0.228,0.594,0.023,0.002,0.257,69,Misc
Pacers,82,501,0.058,0.53,264,36,114,31.6,34.6,0.253,0.523,0.018,0.004,0.301,24.1,Misc
Seventysixers,82,689,0.077,0.39,270,36,128,28.1,32.4,0.19,0.627,0.017,0.003,0.224,100,Misc
Wizards,82,550,0.063,0.49,271,47,135,34.8,38.1,0.215,0.547,0.024,0.007,0.273,48.3,Misc
Raptors,82,515,0.059,0.53,274,36,97,37.1,40.2,0.266,0.544,0.017,0,0.311,20.7,Misc
Lakers,82,483,0.055,0.57,277,39,92,42.4,45.7,0.273,0.54,0.027,0.004,0.325,3.4,Misc
Knicks,82,543,0.063,0.51,278,32,94,34,36.7,0.254,0.576,0.02,0.004,0.293,34.5,Misc
Heat,82,556,0.065,0.51,282,49,141,34.8,37.6,0.203,0.543,0.018,0,0.281,37.9,Misc
Clippers,82,544,0.062,0.52,284,48,146,32.9,36.6,0.23,0.509,0.026,0.007,0.283,27.6,Misc
Thunder,82,566,0.063,0.5,285,35,121,28.9,31,0.265,0.523,0.018,0.002,0.297,41.4,Misc
Spurs,82,597,0.068,0.48,285,53,140,37.9,42.9,0.219,0.554,0.018,0.008,0.263,62.1,Misc
Suns,82,663,0.073,0.43,286,42,125,33.6,36.8,0.196,0.617,0.002,0.002,0.241,82.8,Misc
Nuggets,82,638,0.071,0.45,289,27,120,22.5,23.8,0.249,0.564,0.022,0.002,0.266,75.9,Misc
Bucks,82,609,0.068,0.49,296,38,133,28.6,31.6,0.223,0.558,0.021,0.002,0.274,58.6,Misc
Mavericks,82,557,0.062,0.54,300,53,130,40.8,43.8,0.219,0.551,0.034,0.004,0.289,13.8,Misc
Pistons,82,536,0.062,0.6,324,46,126,36.5,38.5,0.278,0.491,0.021,0.004,0.343,0,Misc
Celtics,82,630,0.07,0.52,328,42,132,31.8,33.7,0.259,0.537,0.022,0.005,0.305,31,Misc
Rockets,82,636,0.07,0.54,346,61,153,39.9,41.8,0.231,0.541,0.031,0.013,0.3,10.3,Misc
