Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG,eFG,FTfreq,TOfreq,SFfreq,And1freq,ScoreFreq,Percentile,play_type
Kings,82,372,0.041,0.9,335,131,317,41.3,46.4,0.073,0.083,0.056,0.008,0.414,51.7,Screen
Thunder,82,352,0.039,0.9,317,122,312,39.1,45.2,0.071,0.06,0.065,0.017,0.398,55.2,Screen
Nets,82,355,0.041,0.89,317,125,300,41.7,47.2,0.068,0.11,0.068,0.023,0.397,48.3,Screen
Rockets,82,357,0.039,0.85,304,109,301,36.2,45.8,0.05,0.115,0.042,0.008,0.347,17.2,Screen
Magic,82,335,0.039,0.82,275,108,296,36.5,40.7,0.063,0.063,0.051,0.009,0.376,6.9,Screen
Seventysixers,82,308,0.034,0.88,271,98,259,37.8,46.9,0.065,0.104,0.065,0.01,0.367,34.5,Screen
Cavaliers,82,254,0.029,0.86,219,81,232,34.9,43.5,0.035,0.051,0.031,0,0.354,24.1,Screen
Jazz,82,201,0.024,0.92,185,60,158,38,45.3,0.144,0.09,0.114,0.02,0.418,72.4,Screen
Pistons,82,732,0.082,1.04,764,335,634,52.8,52.9,0.116,0.041,0.107,0.023,0.536,31,Putback
Jazz,82,622,0.073,1.19,740,309,518,59.7,59.7,0.164,0.042,0.143,0.039,0.608,100,Putback
Kings,82,604,0.067,1.13,680,257,469,54.8,55.2,0.177,0.066,0.154,0.02,0.578,79.3,Putback
Nuggets,82,630,0.069,1.04,654,273,516,52.9,53.4,0.127,0.071,0.116,0.017,0.535,20.7,Putback
Thunder,82,619,0.068,1.04,645,263,495,53.1,53.4,0.152,0.073,0.136,0.027,0.532,27.6,Putback
Lakers,82,578,0.065,1.08,627,268,478,56.1,56.3,0.135,0.062,0.118,0.024,0.555,62.1,Putback
Timberwolves,82,569,0.064,1.1,626,253,469,53.9,54.3,0.151,0.049,0.139,0.026,0.564,75.9,Putback
Bulls,82,590,0.067,1.06,623,261,492,53,53.4,0.142,0.054,0.127,0.032,0.541,37.9,Putback
Raptors,82,536,0.062,1.14,613,250,435,57.5,57.7,0.153,0.052,0.125,0.019,0.59,89.7,Putback
Seventysixers,82,572,0.063,1.06,608,254,479,53,53.1,0.136,0.049,0.121,0.023,0.549,44.8,Putback
Pelicans,82,574,0.067,1.03,593,242,476,50.8,50.9,0.138,0.054,0.113,0.021,0.533,13.8,Putback
Magic,82,542,0.063,1.09,591,261,477,54.7,55.1,0.103,0.05,0.101,0.035,0.541,69,Putback
Trailblazers,82,501,0.057,1.13,566,244,428,57,57.7,0.108,0.058,0.102,0.02,0.563,86.2,Putback
Nets,82,522,0.06,1.07,559,226,433,52.2,52.3,0.155,0.052,0.136,0.036,0.54,48.3,Putback
Grizzlies,82,516,0.06,1.08,558,234,429,54.5,54.7,0.13,0.062,0.112,0.023,0.55,58.6,Putback
Celtics,82,519,0.058,1.08,558,233,434,53.7,54,0.125,0.06,0.108,0.021,0.541,51.7,Putback
Pacers,82,476,0.055,1.13,536,235,414,56.8,57.4,0.107,0.05,0.092,0.032,0.559,82.8,Putback
Warriors,82,499,0.055,1.04,521,220,428,51.4,51.5,0.116,0.042,0.102,0.016,0.535,34.5,Putback
Suns,82,479,0.053,1.09,520,220,406,54.2,54.7,0.127,0.067,0.111,0.042,0.534,65.5,Putback
Heat,82,446,0.054,1.16,518,223,378,59,59.4,0.128,0.052,0.112,0.029,0.585,93.1,Putback
Bucks,82,479,0.054,0.99,476,204,402,50.7,50.9,0.109,0.071,0.092,0.019,0.507,3.4,Putback
Knicks,82,462,0.054,1.02,471,201,401,50.1,50.7,0.11,0.048,0.104,0.026,0.511,10.3,Putback
Clippers,82,415,0.048,1.1,455,194,350,55.4,55.9,0.145,0.034,0.125,0.022,0.564,72.4,Putback
Mavericks,82,389,0.044,1.17,454,186,317,58.7,59.1,0.136,0.059,0.116,0.013,0.599,96.6,Putback
Wizards,82,435,0.05,1.04,452,197,378,52.1,52.6,0.103,0.053,0.087,0.025,0.526,24.1,Putback
Rockets,82,451,0.05,1,451,187,367,51,51.2,0.157,0.055,0.146,0.029,0.514,6.9,Putback
Hornets,82,421,0.049,1.06,446,181,337,53.7,54,0.171,0.055,0.154,0.026,0.556,41.4,Putback
Cavaliers,82,462,0.053,0.94,435,172,366,47,47.5,0.139,0.087,0.113,0.019,0.478,0,Putback
Spurs,82,353,0.04,1.04,366,160,305,52.5,53,0.091,0.074,0.076,0.028,0.513,17.2,Putback
Hawks,82,313,0.037,1.08,337,145,269,53.9,54.3,0.105,0.054,0.089,0.022,0.543,55.2,Putback
Clippers,82,620,0.071,0.55,338,43,121,35.5,39.3,0.319,0.492,0.024,0.008,0.326,82.8,Misc
Hawks,82,494,0.058,0.67,329,41,93,44.1,50,0.306,0.508,0.01,0.002,0.366,100,Misc
Pacers,82,633,0.073,0.48,307,34,113,30.1,32.3,0.248,0.575,0.016,0.002,0.281,62.1,Misc
Kings,82,663,0.074,0.46,304,48,144,33.3,35.4,0.207,0.578,0.023,0.002,0.261,34.5,Misc
Hornets,82,507,0.058,0.6,302,37,109,33.9,37.6,0.294,0.497,0.02,0.006,0.339,96.6,Misc
Bulls,82,572,0.065,0.52,298,39,120,32.5,37.1,0.24,0.552,0.024,0.003,0.294,75.9,Misc
Suns,82,571,0.064,0.52,296,55,140,39.3,43.9,0.201,0.564,0.023,0.011,0.271,72.4,Misc
Grizzlies,82,578,0.067,0.51,295,48,138,34.8,37.3,0.22,0.55,0.019,0.009,0.282,65.5,Misc
Cavaliers,82,552,0.064,0.53,294,50,135,37,41.1,0.223,0.54,0.025,0.007,0.292,79.3,Misc
Celtics,82,522,0.058,0.55,289,51,132,38.6,41.3,0.22,0.536,0.023,0.01,0.301,89.7,Misc
Rockets,82,601,0.066,0.47,282,40,132,30.3,35.2,0.236,0.547,0.017,0.003,0.255,37.9,Misc
Mavericks,82,497,0.056,0.56,277,41,105,39,41,0.26,0.537,0.028,0.008,0.316,93.1,Misc
Lakers,82,497,0.056,0.55,275,50,138,36.2,38.4,0.209,0.517,0.038,0.006,0.3,86.2,Misc
Timberwolves,82,558,0.063,0.48,270,44,127,34.6,35.8,0.204,0.573,0.032,0.005,0.267,58.6,Misc
Thunder,82,559,0.061,0.47,263,36,108,33.3,34.7,0.227,0.58,0.02,0,0.274,41.4,Misc
Warriors,82,588,0.065,0.45,262,47,141,33.3,37.2,0.173,0.59,0.024,0.003,0.24,20.7,Misc
Heat,82,580,0.07,0.45,261,41,132,31.1,33.3,0.21,0.564,0.012,0.002,0.259,27.6,Misc
Nuggets,82,592,0.065,0.44,260,53,155,34.2,35.2,0.188,0.556,0.029,0.005,0.252,13.8,Misc
Spurs,82,520,0.06,0.48,248,38,104,36.5,40.9,0.206,0.594,0.015,0,0.267,44.8,Misc
Nets,82,473,0.054,0.51,242,36,123,29.3,31.3,0.228,0.522,0.04,0.011,0.279,69,Misc
Pistons,82,503,0.057,0.48,241,42,118,35.6,40.7,0.213,0.553,0.01,0,0.27,48.3,Misc
Bucks,82,565,0.064,0.42,238,38,121,31.4,33.1,0.188,0.6,0.018,0.002,0.239,10.3,Misc
Magic,82,528,0.061,0.44,234,37,105,35.2,37.1,0.199,0.604,0.017,0.002,0.256,17.2,Misc
Seventysixers,82,556,0.062,0.42,232,38,124,30.6,33.5,0.189,0.592,0.031,0.004,0.225,6.9,Misc
Jazz,82,501,0.059,0.46,228,36,108,33.3,35.2,0.226,0.561,0.026,0.002,0.267,31,Misc
Raptors,82,467,0.054,0.48,225,42,116,36.2,40.9,0.18,0.576,0.026,0.004,0.255,55.2,Misc
Wizards,82,543,0.062,0.41,224,35,104,33.7,35.6,0.192,0.622,0.022,0.006,0.239,3.4,Misc
Trailblazers,82,497,0.056,0.45,222,33,110,30,31.8,0.193,0.59,0.02,0.004,0.245,24.1,Misc
Knicks,82,617,0.072,0.35,219,29,117,24.8,26.9,0.167,0.643,0.008,0,0.206,0,Misc
Pelicans,82,449,0.052,0.48,216,30,101,29.7,31.2,0.229,0.55,0.013,0.004,0.276,51.7,Misc
