Date,Season,player_size,atb3_pps,c3_pps,mid_pps,ra_pps,paint_pps
36854,2000,All,1.069622597,1.168481021,0.88251989,1.62428297,1.067693657
36855,2000,Big,0.933179922,1.089849233,0.8502284,1.580378019,1.067021546
36855,2000,Small,1.096893232,1.164164095,0.905024574,1.650470962,1.068012681
36855,2000,All,1.073161291,1.15392004,0.884689522,1.616359117,1.067488713
36856,2000,Big,0.959377735,1.110800716,0.849147805,1.586716578,1.074258614
36856,2000,Small,1.085822198,1.171019695,0.902831768,1.657050768,1.074002725
36856,2000,All,1.067619827,1.162737831,0.882908887,1.62287212,1.074137389
36857,2000,Big,0.967625492,1.099170929,0.851142801,1.5874449,1.076072807
36857,2000,Small,1.081242539,1.169973208,0.900904863,1.654962988,1.075716845
36857,2000,All,1.064875743,1.160246725,0.882361453,1.622154134,1.075904252
36858,2000,Big,0.967477893,1.096895749,0.8490074,1.586868398,1.071821221
36858,2000,Small,1.085529863,1.167252826,0.901114485,1.654609825,1.075950093
36858,2000,All,1.068535469,1.157429385,0.881671214,1.621672259,1.073767041
36859,2000,Big,0.985172792,1.084183975,0.849354287,1.583165463,1.062139914
36859,2000,Small,1.093392028,1.174216074,0.901062562,1.646117284,1.069852056
36859,2000,All,1.077659249,1.161473266,0.881879648,1.615451064,1.065764052
36860,2000,Big,0.987097222,1.088686936,0.84766425,1.587682902,1.058090249
36860,2000,Small,1.090577142,1.171264137,0.899961627,1.645990034,1.068202498
36860,2000,All,1.075675839,1.159662382,0.8805143,1.617709601,1.062809049
36861,2000,Big,0.988990351,1.055400887,0.847535734,1.591973014,1.061889651
36861,2000,Small,1.092585494,1.16315402,0.899284851,1.649277522,1.068092531
36861,2000,All,1.077414855,1.147615495,0.880061402,1.621463369,1.064784702
36862,2000,Big,0.986483317,1.073409366,0.847963451,1.589849429,1.063098162
36862,2000,Small,1.090341251,1.162279829,0.901719057,1.650942608,1.068406217
36862,2000,All,1.075184348,1.149501822,0.881754241,1.62122041,1.065568174
36863,2000,Big,0.998393991,1.089637382,0.849714309,1.587426326,1.061789096
36863,2000,Small,1.090700196,1.155811164,0.904564014,1.650939566,1.064183106
36863,2000,All,1.077184348,1.146428623,0.884250295,1.620043027,1.062903144
36864,2000,Big,0.991378156,1.070158129,0.849070146,1.589712518,1.059575125
36864,2000,Small,1.091042759,1.147166462,0.903926933,1.649074632,1.066950722
36864,2000,All,1.076249437,1.136185129,0.883640425,1.620286465,1.063024943
36865,2000,Big,0.993010627,1.081977539,0.849061719,1.589757808,1.062545007
36865,2000,Small,1.090001746,1.141736577,0.904929013,1.649867663,1.071597931
36865,2000,All,1.075552455,1.133199571,0.884277606,1.620702561,1.066780047
36866,2000,Big,0.982684219,1.09353087,0.851944443,1.590897034,1.058747435
36866,2000,Small,1.088696102,1.142938221,0.904526828,1.649109688,1.071891558
36866,2000,All,1.072968144,1.135823562,0.88504999,1.620843738,1.064878945
36867,2000,Big,0.980066274,1.1118173,0.853019948,1.592522065,1.057940262
36867,2000,Small,1.082736788,1.150716705,0.907051443,1.646767431,1.082112497
36867,2000,All,1.067516886,1.145236106,0.887120885,1.620437784,1.069213252
36868,2000,Big,0.986413945,1.12098387,0.852086983,1.594470753,1.060351128
36868,2000,Small,1.080861523,1.145257805,0.907910356,1.647608222,1.083608264
