Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT_Freq,TO_Freq,SF_Freq,AndOne_Freq,Score_Freq,Percentile,Playtype,Side
Los Angeles Clippers,13,108,7.4%,0.86,93,36,77,46.8,46.8,15.7%,15.7%,13.0%,2.8%,45.4%,41.4,post-up,defensive
Charlotte Hornets,14,121,8.0%,0.80,97,38,89,42.7,42.7,12.4%,16.5%,10.7%,2.5%,41.3%,72.4,post-up,defensive
New York Knicks,15,136,8.4%,0.76,103,41,99,41.4,41.4,11.8%,15.4%,9.6%,0.0%,41.2%,79.3,post-up,defensive
Miami Heat,13,128,9.2%,0.83,106,42,99,42.4,42.4,14.1%,13.3%,12.5%,4.7%,42.2%,62.1,post-up,defensive
Boston Celtics,13,124,8.5%,0.87,108,37,88,42.0,42.0,19.4%,12.1%,14.5%,2.4%,45.2%,31.0,post-up,defensive
Sacramento Kings,15,130,7.7%,0.84,109,44,100,44.0,44.0,13.8%,13.8%,12.3%,4.6%,41.5%,55.2,post-up,defensive
Denver Nuggets,14,124,8.1%,0.89,110,44,98,44.9,44.9,12.9%,11.3%,12.9%,3.2%,45.2%,24.1,post-up,defensive
Chicago Bulls,12,133,9.7%,0.83,110,45,104,43.3,43.3,12.0%,11.3%,9.0%,1.5%,43.6%,65.5,post-up,defensive
Atlanta Hawks,15,134,8.1%,0.82,110,44,109,40.4,40.4,11.2%,10.4%,10.4%,3.0%,40.3%,69.0,post-up,defensive
Milwaukee Bucks,14,110,7.2%,1.02,112,39,74,52.7,52.7,22.7%,13.6%,14.5%,3.6%,52.7%,0.0,post-up,defensive
Brooklyn Nets,14,116,7.7%,0.97,113,46,88,52.3,52.3,12.1%,13.8%,8.6%,1.7%,50.0%,3.4,post-up,defensive
New Orleans Pelicans,14,149,9.8%,0.86,128,51,115,44.3,44.3,12.1%,13.4%,10.1%,2.7%,43.6%,44.8,post-up,defensive
Cleveland Cavaliers,14,153,10.3%,0.84,129,57,129,44.2,44.2,9.2%,9.2%,4.6%,2.6%,42.5%,51.7,post-up,defensive
Oklahoma City Thunder,15,158,9.3%,0.83,131,50,124,40.3,40.3,12.7%,10.1%,10.8%,1.3%,42.4%,58.6,post-up,defensive
