gameid
20300001
20300002
20300003
20300004
20300005
20300006
20300007
20300008
20300010
20300011
20300012
20300013
20300014
20300015
20300016
20300017
20300018
20300019
20300020
20300021
20300022
20300023
20300024
20300025
20300026
20300027
20300028
20300029
20300030
20300031
20300032
20300033
20300034
20300035
20300036
20300037
20300038
20300039
20300040
20300041
20300042
20300043
20300044
20300045
20300046
20300047
20300048
20300049
20300050
20300051
20300052
20300053
20300054
20300055
20300056
20300057
20300058
20300059
20300060
20300061
20300062
20300063
20300064
20300065
20300066
20300067
20300068
20300069
20300070
20300071
20300072
20300073
20300074
20300075
20300076
20300077
20300078
20300079
20300080
20300081
20300082
20300083
20300084
20300085
20300086
20300087
20300088
20300089
20300090
20300091
20300092
20300093
20300094
20300095
20300096
20300097
20300098
20300099
20300100
20300101
20300102
20300103
20300104
20300105
20300106
20300107
20300108
20300109
20300110
20300111
20300112
20300113
20300114
20300115
20300116
20300117
20300118
20300119
20300120
20300121
20300122
20300123
20300124
20300125
20300126
20300127
20300128
20300129
20300130
20300131
20300132
20300133
20300134
20300135
20300136
20300137
20300138
20300139
20300140
20300141
20300142
20300143
20300144
20300145
20300146
20300147
20300148
20300149
20300150
20300151
20300152
20300153
20300154
20300155
20300156
20300157
20300158
20300159
20300160
20300161
20300162
20300163
20300164
20300165
20300166
20300167
20300168
20300169
20300170
20300171
20300172
20300173
20300174
20300175
20300176
20300177
20300178
20300179
20300180
20300181
20300182
20300183
20300184
20300185
20300186
20300187
20300188
20300189
20300190
20300191
20300192
20300193
20300194
20300195
20300196
20300197
20300198
20300199
20300200
20300201
20300202
20300203
20300204
20300205
20300206
20300207
20300208
20300209
20300210
20300211
20300212
20300213
20300214
20300215
20300216
20300217
20300218
20300219
20300220
20300221
20300222
20300223
20300224
20300225
20300226
20300227
20300228
20300229
20300230
20300231
20300232
20300233
20300234
20300235
20300236
20300237
20300238
20300239
20300240
20300241
20300242
20300243
20300244
20300245
20300246
20300247
20300248
20300249
20300250
20300251
20300252
20300253
20300254
20300255
20300256
20300257
20300258
20300259
20300260
20300261
20300262
20300263
20300264
20300265
