Player ,ID,Size
Marcus Morris,202694,Big
Kawhi Leonard,202695,Small
Nikola Vucevic,202696,Big
Tobias Harris,202699,Small
Kenneth Faried,202702,Big
Nikola Mirotic,202703,Big
Reggie Jackson,202704,Small
Norris Cole,202708,Small
Cory Joseph,202709,Small
Jimmy Butler,202710,Small
Bojan Bogdanovic,202711,Small
Kyle Singler,202713,Small
Shelvin Mack,202714,Small
Chandler Parsons,202718,Small
Jon Leuer,202720,Big
Lavoy Allen,202730,Big
E'Twaun Moore,202734,Small
Isaiah Thomas,202738,Small
Anthony Davis,203076,Big
Bradley Beal,203078,Small
Dion Waiters,203079,Small
Thomas Robinson,203080,Big
Damian Lillard,203081,Small
Terrence Ross,203082,Small
Andre Drummond,203083,Big
Harrison Barnes,203084,Small
Austin Rivers,203085,Small
Meyers Leonard,203086,Big
Jeremy Lamb,203087,Small
Kendall Marshall,203088,Small
John Henson,203089,Big
Maurice Harkless,203090,Small
Tyler Zeller,203092,Big
Terrence Jones,203093,Big
Andrew Nicholson,203094,Big
Evan Fournier,203095,Small
Jared Sullinger,203096,Big
John Jenkins,203098,Small
Jared Cunningham,203099,Small
Miles Plumlee,203101,Big
Festus Ezeli,203105,Big
Jae Crowder,203109,Small
Draymond Green,203110,Big
Quincy Acy,203112,Big
Khris Middleton,203114,Small
Will Barton,203115,Small
Mike Scott,203118,Big
Kostas Papanikolaou,203123,Small
Kyle O'Quinn,203124,Big
Robert Sacre,203135,Big
Hollis Thompson,203138,Small
Mirza Teletovic,203141,Big
Chris Copeland,203142,Small
Pablo Prigioni,203143,Small
Kent Bazemore,203145,Small
Brian Roberts,203148,Small
Chris Johnson,203187,Small
Justin Holiday,203200,Small
JaMychal Green,203210,Big
Aron Baynes,203382,Big
Nerlens Noel,203457,Big
Alex Len,203458,Big
Allen Crabbe,203459,Small
Andre Roberson,203460,Small
Anthony Bennett,203461,Big
Archie Goodwin,203462,Small
Ben McLemore,203463,Small
C.J. McCollum,203468,Small
Cody Zeller,203469,Big
Dennis Schroder,203471,Small
Dewayne Dedmon,203473,Big
Erick Green,203475,Small
Gorgui Dieng,203476,Big
Isaiah Canaan,203477,Small
Kelly Olynyk,203482,Big
Kentavious Caldwell-Pope,203484,Small
Mason Plumlee,203486,Big
Michael Carter-Williams,203487,Small
Mike Muscala,203488,Big
Otto Porter,203490,Small
Ray McCallum,203492,Small
Reggie Bullock,203493,Small
Robert Covington,203496,Small
Rudy Gobert,203497,Big
Shabazz Muhammad,203498,Small
Shane Larkin,203499,Small
Steven Adams,203500,Big
Tim Hardaway Jr.,203501,Small
Tony Snell,203503,Small
Trey Burke,203504,Small
Victor Oladipo,203506,Small
Giannis Antetokounmpo,203507,Small
Sergey Karasev,203508,Small
Lucas Nogueira,203512,Big
Phil Pressey,203515,Small
James Ennis,203516,Small
Matthew Dellavedova,203521,Small
Solomon Hill,203524,Small
Raul Neto,203526,Small
Ryan Kelly,203527,Big
Joffrey Lauvergne,203530,Big
Ian Clark,203546,Small
Seth Curry,203552,Small
Troy Daniels,203584,Small
Jonathon Simmons,203613,Small
P.J. Hairston,203798,Small
Russ Smith,203893,Small
Shabazz Napier,203894,Small
Zach LaVine,203897,Small
Tyler Ennis,203898,Small
Markel Brown,203900,Small
Elfrid Payton,203901,Small
Jordan Clarkson,203903,Small
Devyn Marble,203906,Small
KJ McDaniels,203909,Small
Gary Harris,203914,Small
Spencer Dinwiddie,203915,Small
Nik Stauskas,203917,Small
Rodney Hood,203918,Small
Jordan Adams,203919,Small
Cleanthony Early,203921,Small
Glenn Robinson,203922,Small
James Young,203923,Small
Jerami Grant,203924,Small
Joe Harris,203925,Small
Doug McDermott,203926,Small
Cory Jefferson,203928,Big
Aaron Gordon,203932,Big
T.J. Warren,203933,Small
Lamar Patterson,203934,Small
Marcus Smart,203935,Small
Kyle Anderson,203937,Small
Dwight Powell,203939,Big
Adreian Payne,203940,Big
Noah Vonleh,203943,Big
Julius Randle,203944,Big
Cameron Bairstow,203946,Big
Johnny O'Bryant,203948,Big
James Michael McAdoo,203949,Big
Jarnell Stokes,203950,Big
Andrew Wiggins,203952,Small
Jabari Parker,203953,Small
Mitch McGary,203956,Big
JaKarr Sampson,203960,Small
Eric Moreland,203961,Big
Shayne Whittington,203963,Big
Clint Capela,203991,Big
Damien Inglis,203996,Small
Bruno Caboclo,203998,Small
Nikola Jokic,203999,Big
Kristaps Porzingis,204001,Big
Walter Tavares,204002,Big
Damjan Rudez,204014,Small
Tyler Johnson,204020,Small
Tim Frazier,204025,Small
Tarik Black,204028,Big
Langston Galloway,204038,Small
Joe Ingles,204060,Small
T.J. McConnell,204456,Small
Jahlil Okafor,1626143,Big
Emmanuel Mudiay,1626144,Small
Tyus Jones,1626145,Small
Cliff Alexander,1626146,Big
Justin Anderson,1626147,Small
Anthony Brown,1626148,Small
Montrezl Harrell,1626149,Big
Delon Wright,1626153,Small
R.J. Hunter,1626154,Small
Sam Dekker,1626155,Small
D'Angelo Russell,1626156,Small
Karl-Anthony Towns,1626157,Big
Richaun Holmes,1626158,Big
Justise Winslow,1626159,Small
Willie Cauley-Stein,1626161,Big
Kelly Oubre,1626162,Small
Frank Kaminsky,1626163,Big
Devin Booker,1626164,Small
Cameron Payne,1626166,Small
Myles Turner,1626167,Big
Trey Lyles,1626168,Big
Stanley Johnson,1626169,Small
Jerian Grant,1626170,Small
Bobby Portis,1626171,Big
Rashad Vaughn,1626173,Small
Christian Wood,1626174,Big
Jordan Mickey,1626175,Big
Rondae Hollis-Jefferson,1626178,Small
Terry Rozier,1626179,Small
Norman Powell,1626181,Small
Jarell Martin,1626185,Big
Pat Connaughton,1626192,Small
Josh Richardson,1626196,Small
Darrun Hilliard,1626199,Small
Joe Young,1626202,Small
Larry Nance Jr.,1626204,Big
Mario Hezonja,1626209,Small
Luis Montero,1626242,Small
Cristiano Felicio,1626245,Big
Boban Marjanovic,1626246,Big
Duje Dukan,1626251,Small
Salah Mejri,1626257,Big
Marcelo Huertas,1626273,Small
Ryan Hollins,200797,Big
Javale Mcgee,201580,Big
Tyreke Evans,201936,Small
Bryce Cotton,203955,Small
grant long,3,Big
eric piatkowski,15,Small
greg anthony,21,Small
luc longley,26,Big
doug west,28,Small
jim mcilvaine,29,Big
monty williams,42,Small
chris whitney,43,Small
george mccloud,45,Small
mahmoud abdul-rauf,51,Small
mario elie,53,Small
dickey simpkins,54,Big
gary payton,56,Small
doug christie,57,Small
michael smith,63,Big
sam perkins,64,Big
tom hammonds,67,Big
steve kerr,70,Small
kenny anderson,72,Small
cedric ceballos,76,Small
doug overton,77,Small
latrell sprewell,84,Small
brent price,85,Small
dikembe mutombo,87,Big
nick van exel,89,Small
hubert davis,93,Small
mark bryant,95,Big
detlef schrempf,96,Small
nick anderson,98,Small
todd day,103,Small
dan majerle,105,Small
robert horry,109,Big
laphonso ellis,111,Big
steven smith,120,Big
patrick ewing,121,Small
robert pack,123,Small
vlade divac,124,Big
david benoit,128,Small
david wesley,133,Small
p.j. brown,136,Big
vernon maxwell,137,Small
tracy murray,145,Small
jud buechler,146,Small
jalen rose,147,Small
chris childs,164,Small
hakeem olajuwon,165,Big
ron harper,166,Small
chris mills,168,Big
keith askins,173,Small
antonio harvey,176,Big
muggsy bogues,177,Small
olden polynice,178,Big
bryant stith,179,Small
john crotty,180,Small
billy owens,182,Big
chris webber,185,Big
duane causwell,190,Big
anthony mason,193,Big
scott burrell,197,Small
danny ferry,198,Small
chris dudley,201,Big
gary grant,202,Small
sam cassell,208,Small
dell curry,209,Small
terrell brandon,210,Small
antonio davis,213,Big
brian shaw,216,Small
vinny del negro,219,Small
clar. weatherspoon,221,Big
bill curley,223,Big
eddie jones,224,Small
adam keefe,228,Big
kevin edwards,236,Small
tyrone hill,238,Big
darrick martin,239,Small
aaron mckie,243,Small
dee brown,244,Small
george lynch,248,Small
sean elliott,251,Small
karl malone,252,Big
grant hill,255,Small
brian grant,258,Big
horace grant,270,Big
johnny newman,271,Small
allan houston,275,Small
stacey augmon,278,Small
felton spencer,280,Big
scott williams,281,Big
lindsey hunter,283,Small
anthony miller,292,Big
rick fox,296,Small
alonzo mourning,297,Big
glenn robinson,299,Small
mookie blaylock,302,Small
