Season,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012,55,Kawhi Leonard,SF,21,SAS,58,1810,16.4,0.592,0.331,0.24,4.3,17.1,11.1,7.7,2.7,1.3,9.6,16.4,3,3.3,6.2,0.166,1.4,2.5,3.9,2.7
2011,51,Kawhi Leonard,SF,20,SAS,64,1534,16.6,0.573,0.27,0.218,7.9,16.4,12.2,6.6,2.9,1.1,9,14.5,3.1,2.4,5.5,0.171,2,2.3,4.3,2.4
2004,369,Kedrick Brown,SF,23,PHI,8,55,9.7,0.577,0.5,1.667,2,20.7,11.2,10.3,2.8,1.4,32.5,12.4,0,0.1,0.1,0.06,-5.2,2,-3.2,0
2003,201,Kedrick Brown,SF,22,TOT,55,969,12.5,0.543,0.39,0.106,4.8,12.1,8.5,10.8,1.6,0.5,9.8,13.7,1.4,0.6,2,0.1,0.2,-1.1,-0.9,0.3
2002,293,Kedrick Brown,SF,21,BOS,51,666,8.8,0.392,0.228,0.187,7.4,16.6,11.9,5.1,2.7,1.5,11.1,14.5,-0.5,1.1,0.5,0.037,-5.4,1,-4.4,-0.4
2001,318,Kedrick Brown,SF,20,BOS,29,245,11.9,0.4,0.386,0.286,4.8,17.9,11.2,9.8,3.8,2.2,8.2,16,-0.1,0.5,0.4,0.075,-3.8,2.6,-1.2,0.1
2011,412,Keith Benson,C,23,GSW,3,9,6,0,0,0,25.3,12.6,18.9,0,0,0,0,5.1,0,0,0,-0.005,-5.4,-5.1,-10.4,0
2013,398,Keith Bogans,SG,33,BOS,6,55,9.9,0.82,1,0.5,0,6.4,3.1,7.7,0.9,0,12,6.7,0.1,0,0.1,0.121,0.1,-2.2,-2.1,0
2012,258,Keith Bogans,SG,32,BRK,74,1408,6.7,0.533,0.863,0.06,1.3,8.8,5,8.1,1.1,0.2,14.4,11.2,0.7,0.7,1.4,0.047,-0.4,-0.9,-1.3,0.3
2011,413,Keith Bogans,SF,31,NJN,5,94,4.8,0.453,0.571,0.238,6,7.6,6.8,5.1,1.1,0,11.5,12.8,0,0,0,-0.005,-2.3,-2.7,-5.1,-0.1
2010,137,Keith Bogans,SG,30,CHI,82,1461,9,0.559,0.772,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,1.4,2.2,3.6,0.118,-0.4,0.4,0,0.7
