player_id,player_name
1743,bruno sundov
1744,jerome james
1747,rafer alston
1749,cuttino mobley
1751,jahidi white
1752,sean marks
1760,derrick dial
1761,greg buckner
1762,tremaine fowlkes
1763,ryan bowen
1765,torraye braggs
1766,maceo baston
1800,damon jones
1802,brad miller
1829,ike fontaine
665382,dexter pittman
1838,tyrone nesby
1853,anthony carter
1863,earl boykins
1864,steve goodrich
1882,elton brand
1883,steve francis
1884,baron davis
1885,lamar odom
1886,jonathan bender
1887,wally szczerbiak
1888,richard hamilton
1889,andre miller
1890,shawn marion
1891,jason terry
1892,trajan langdon
1893,aleksandar radojevic
1894,corey maggette
1895,william avery
1897,metta world peace
1898,cal bowdler
1899,james posey
1900,quincy lewis
1901,dion glover
1902,jeff foster
1903,kenny thomas
1904,devean george
1905,andrei kirilenko
1906,tim james
1907,vonteego cummings
1908,jumaine jones
1909,scott padgett
1910,leon smith
1913,michael ruffin
1914,chris herren
1915,evan eschmeyer
1916,calvin booth
1917,wang zhi-zhi
1918,obinna ekezie
1919,laron profit
1921,gordan giricek
1922,francisco elson
1924,lee nailon
1928,todd macculloch
1930,lari ketner
1934,rodney buford
1938,manu ginobili
1942,harold jamison
1944,eddie robinson
1950,andy panko
1952,raja bell
1956,ira newble
1960,milt palacio
1975,jamel thomas
1983,jermaine jackson
1985,zendon hamilton
2030,kenyon martin
2031,stromile swift
2032,darius miles
2033,marcus fizer
2034,mike miller
2035,dermarr johnson
2036,chris mihm
2037,jamal crawford
2038,joel przybilla
2039,keyon dooling
2040,jerome moiso
2041,etan thomas
2042,courtney alexander
2043,mateen cleaves
2044,jason collier
2045,hedo turkoglu
2046,desmond mason
2047,quentin richardson
2048,jamaal magloire
2049,speedy claxton
2050,morris peterson
2051,donnell harvey
2052,deshawn stevenson
2053,dalibor bagaric
2054,jake tsakalidis
2055,mamadou n'diaye
2056,primoz brezec
2057,erick barkley
2058,mark madsen
2059,eduardo najera
2060,marko jaric
2061,dan langhi
2062,a.j. guyton
2063,jake voskuhl
2064,khalid el-amin
2065,mike smith
2066,soumaila samake
2067,eddie house
2068,lavor postell
2069,hanno mottola
2071,olumide oyedeji
2072,michael redd
2073,brian cardinal
2074,jabari smith
2078,jason hart
2079,kaniel dickens
2080,igor rakocevic
2081,ernest brown
2082,dan mcclintock
2084,chris porter
2091,daniel santiago
2092,ruben garces
2098,slava medvedenko
2101,paul mcpherson
2106,ruben wolkowyski
2109,eddie gill
2121,terrance roberson
2123,garth joseph
2124,malik allen
2128,david vanterpool
2130,mike penberthy
2137,ime udoka
2143,juan sanchez
2173,sean colson
2198,kwame brown
2199,tyson chandler
2200,pau gasol
2201,eddy curry
2202,jason richardson
2203,shane battier
2204,eddie griffin
2205,desagana diop
2206,rodney white
2207,joe johnson
2208,kedrick brown
2209,vladimir radmanovic
2210,richard jefferson
2211,troy murphy
2212,steven hunter
2213,kirk haston
2214,michael bradley
2215,jason collins
2216,zach randolph
2217,brendan haywood
2218,joseph forte
2219,jeryl sasser
2220,brandon armstrong
2221,raul lopez
2222,gerald wallace
2223,samuel dalembert
2224,jamaal tinsley
2225,tony parker
2226,will solomon
2228,alton ford
2229,mike james
2230,maurice evans
2237,ratko varda
2238,antonis fotsis
2239,trenton hassell
2240,gilbert arenas
2241,omar cook
2242,terence morris
2243,brian scalabrine
2244,jeff trepagnier
2245,damone brown
2246,mehmet okur
2248,earl watson
2249,jamison brewer
2250,bobby simmons
2253,sean lampley
2254,loren woods
2256,ken johnson
2257,ruben boumtje-boumtje
2260,jarron collins
2261,kenny satterfield
2264,alvin jones
2294,charlie bell
2306,carlos arroyo
2321,paul shirley
2343,joe crispin
2347,tang hamilton
2349,victor alexander
2351,oscar torres
2352,dean oliver
2357,tierre brown
2365,chris andersen
2366,mike wilks
2367,geno carlisle
2369,norman richardson
2370,mengke bateer
2397,yao ming
2398,jay williams
2399,mike dunleavy
2400,drew gooden
2401,nikoloz tskitishvili
2402,dajuan wagner
2403,nene
2404,chris wilcox
2405,amar'e stoudemire
